GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chris-ims,com.qa.ims.controller,ItemController,8,107,0,2,4,29,4,7,4,6
chris-ims,com.qa.ims.controller,Action,116,0,2,0,18,0,6,0,5,0
chris-ims,com.qa.ims.controller,CustomerController,4,102,0,2,2,28,2,7,2,6
chris-ims,com.qa.ims.controller,OrderController,130,0,2,0,34,0,10,0,9,0
chris-ims,com.qa.ims,Ims,204,35,17,2,51,9,16,4,4,3
chris-ims,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
chris-ims,com.qa.ims.persistence.dao,ItemDaoMysql,317,0,2,0,78,0,13,0,12,0
chris-ims,com.qa.ims.persistence.dao,OrderDaoMysql,401,0,2,0,93,0,15,0,14,0
chris-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,217,95,2,0,57,20,8,5,7,5
chris-ims,com.qa.ims.services,ItemServices,2,28,0,0,1,8,1,5,1,5
chris-ims,com.qa.ims.services,OrderServices,34,0,0,0,9,0,6,0,6,0
chris-ims,com.qa.ims.services,CustomerServices,2,28,0,0,1,8,1,5,1,5
chris-ims,com.qa.ims.utils,Utils,26,0,0,0,6,0,3,0,3,0
chris-ims,com.qa.ims.persistence.domain,Order,165,0,30,0,52,0,27,0,12,0
chris-ims,com.qa.ims.persistence.domain,Domain,33,72,2,0,9,10,3,3,2,3
chris-ims,com.qa.ims.persistence.domain,Item,4,172,2,28,2,46,2,24,0,11
chris-ims,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
